STATE|STUSAB|STATE_NAME|STATENS|BORDER_STATES
01|AL|Alabama|01779775|12,13,28,47
02|AK|Alaska|01785533|
04|AZ|Arizona|01779777|06,08,32,35,49
05|AR|Arkansas|00068085|22,28,29,40,47,48
06|CA|California|01779778|04,32,41
08|CO|Colorado|01779779|04,20,31,35,40,49,56
09|CT|Connecticut|01779780|25,36,44
10|DE|Delaware|01779781|24,34,42
11|DC|District of Columbia|01702382|24,51
12|FL|Florida|00294478|01,13
13|GA|Georgia|01705317|01,12,37,45,47
15|HI|Hawaii|01779782|
16|ID|Idaho|01779783|30,32,41,49,53,56
17|IL|Illinois|01779784|18,19,21,26,29,55
18|IN|Indiana|00448508|17,21,26,39
19|IA|Iowa|01779785|17,27,29,31,46,55
20|KS|Kansas|00481813|08,29,31,40
21|KY|Kentucky|01779786|17,18,29,39,47,51,54
22|LA|Louisiana|01629543|05,28,48
23|ME|Maine|01779787|33
24|MD|Maryland|01714934|10,11,42,51,54
25|MA|Massachusetts|00606926|09,33,36,44,50
26|MI|Michigan|01779789|17,18,27,39,55
27|MN|Minnesota|00662849|19,26,38,46,55
28|MS|Mississippi|01779790|01,05,22,47
29|MO|Missouri|01779791|05,17,19,20,21,31,40,47
30|MT|Montana|00767982|16,38,46,56
31|NE|Nebraska|01779792|08,19,20,29,46,56
32|NV|Nevada|01779793|04,06,16,41,49
33|NH|New Hampshire|01779794|25,23,50
34|NJ|New Jersey|01779795|10,36,42
35|NM|New Mexico|00897535|04,08,40,48,49
36|NY|New York|01779796|09,25,34,42,44,50
37|NC|North Carolina|01027616|13,45,47,51
38|ND|North Dakota|01779797|27,30,46
39|OH|Ohio|01085497|18,21,26,42,54
40|OK|Oklahoma|01102857|05,08,20,29,35,48
41|OR|Oregon|01155107|06,16,32,53
42|PA|Pennsylvania|01779798|10,24,34,36,39,54
44|RI|Rhode Island|01219835|09,25,36
45|SC|South Carolina|01779799|13,37
46|SD|South Dakota|01785534|19,27,30,31,38,56
47|TN|Tennessee|01325873|01,05,13,21,28,29,37,51
48|TX|Texas|01779801|05,22,35,40
49|UT|Utah|01455989|04,08,16,32,35,56
50|VT|Vermont|01779802|25,33,36
51|VA|Virginia|01779803|11,21,24,37,47,54
53|WA|Washington|01779804|16,41
54|WV|West Virginia|01779805|21,24,39,42,51
55|WI|Wisconsin|01779806|17,19,26,27
56|WY|Wyoming|01779807|08,16,30,31,46,49
60|AS|American Samoa|01802701|
66|GU|Guam|01802705|
69|MP|Northern Mariana Islands|01779809|
72|PR|Puerto Rico|01779808|
74|UM|U.S. Minor Outlying Islands|01878752|
78|VI|U.S. Virgin Islands|01802710|
